day,activity_time,activity_type
3/19/2023 0:00:00,16740,low
6/30/2022 0:00:00,4200,low
1/18/2023 0:00:00,12360,low
2/15/2023 0:00:00,11460,low
6/25/2022 0:00:00,9240,low
11/16/2022 0:00:00,9000,low
8/27/2022 0:00:00,18720,low
9/5/2022 0:00:00,18120,low
7/27/2022 0:00:00,14040,low
11/18/2022 0:00:00,19740,low
7/19/2022 0:00:00,15180,low
7/22/2022 0:00:00,240,low
8/28/2022 0:00:00,22800,low
3/4/2023 0:00:00,15720,low
7/18/2022 0:00:00,13800,low
7/24/2022 0:00:00,780,low
8/31/2022 0:00:00,12420,low
9/3/2022 0:00:00,11700,low
2/16/2023 0:00:00,16140,low
2/18/2023 0:00:00,15240,low
2/26/2023 0:00:00,15960,low
9/15/2022 0:00:00,13260,low
11/10/2022 0:00:00,18960,low
1/30/2023 0:00:00,13740,low
7/5/2022 0:00:00,12360,low
7/8/2022 0:00:00,15240,low
9/10/2022 0:00:00,18900,low
9/11/2022 0:00:00,21780,low
10/2/2022 0:00:00,18600,low
10/3/2022 0:00:00,0,low
10/11/2022 0:00:00,13560,low
12/8/2022 0:00:00,16680,low
1/1/2023 0:00:00,15420,low
2/25/2023 0:00:00,18420,low
3/8/2023 0:00:00,15480,low
3/23/2023 0:00:00,15840,low
7/13/2022 0:00:00,14220,low
8/2/2022 0:00:00,16740,low
8/3/2022 0:00:00,14520,low
8/4/2022 0:00:00,16620,low
8/9/2022 0:00:00,11760,low
10/9/2022 0:00:00,23640,low
10/12/2022 0:00:00,14760,low
11/30/2022 0:00:00,14640,low
1/2/2023 0:00:00,21780,low
3/21/2023 0:00:00,16020,low
12/5/2022 0:00:00,19920,low
3/10/2023 0:00:00,19260,low
6/29/2022 0:00:00,19380,low
7/16/2022 0:00:00,21480,low
8/13/2022 0:00:00,15120,low
9/18/2022 0:00:00,19620,low
11/27/2022 0:00:00,23580,low
1/9/2023 0:00:00,16260,low
2/9/2023 0:00:00,18660,low
2/10/2023 0:00:00,14880,low
2/13/2023 0:00:00,16440,low
1/22/2023 0:00:00,4020,low
6/22/2022 0:00:00,11700,low
6/23/2022 0:00:00,15660,low
9/13/2022 0:00:00,15780,low
