,day,score,deep_sleep,efficiency,latency,rem_sleep,restfulness,timing,timing,total_sleep
0,2022-06-22,77,89,79,43,86,70,96,96,77
1,2022-06-23,70,46,72,72,71,67,100,100,69
2,2022-06-24,69,69,76,81,67,66,100,100,58
3,2022-06-25,57,61,48,54,54,49,100,100,50
4,2022-06-26,86,34,72,97,100,69,100,100,100
5,2022-06-27,78,50,97,78,85,76,100,100,74
6,2022-06-28,79,98,76,70,79,80,100,100,70
7,2022-06-29,72,67,65,91,67,53,100,100,72
8,2022-06-30,60,47,37,72,63,54,100,100,57
9,2022-07-01,52,70,37,54,55,50,45,45,53
10,2022-07-02,68,25,88,70,79,71,84,84,64
11,2022-07-04,73,80,79,46,77,51,76,76,84
12,2022-07-05,83,57,79,89,98,60,100,100,90
13,2022-07-06,82,64,74,94,99,58,100,100,85
14,2022-07-07,67,43,79,81,65,54,88,88,68
15,2022-07-08,73,82,81,75,74,61,100,100,65
16,2022-07-09,73,95,79,70,84,55,69,69,72
17,2022-07-10,65,15,79,91,84,49,87,87,64
18,2022-07-12,79,57,88,83,97,53,100,100,80
19,2022-07-13,75,50,65,97,91,48,96,96,81
20,2022-07-14,68,27,55,89,95,50,97,97,69
21,2022-07-15,72,48,69,29,89,54,100,100,86
22,2022-07-16,51,61,65,67,21,56,100,100,32
23,2022-07-17,80,79,72,67,100,70,27,27,100
24,2022-07-18,79,85,95,64,83,54,100,100,80
25,2022-07-19,78,59,88,89,97,52,100,100,77
26,2022-07-20,75,47,69,91,80,65,100,100,76
27,2022-07-21,67,68,62,81,69,50,100,100,62
28,2022-07-22,65,60,79,72,63,55,87,87,58
29,2022-07-25,77,38,93,83,83,45,100,100,87
30,2022-07-26,60,38,44,67,75,50,82,82,62
31,2022-07-27,74,73,53,89,71,53,100,100,77
32,2022-07-28,77,59,81,81,86,58,100,100,79
33,2022-07-29,71,50,79,59,86,54,91,91,74
34,2022-07-30,57,59,58,78,51,51,71,71,51
35,2022-07-31,62,27,62,91,69,51,71,71,64
36,2022-08-01,63,17,41,83,76,61,95,95,64
37,2022-08-02,69,75,53,86,70,51,100,100,64
38,2022-08-03,67,75,53,70,75,61,90,90,63
39,2022-08-04,86,66,83,67,100,62,100,100,100
40,2022-08-05,64,56,62,62,56,55,95,95,64
41,2022-08-06,77,55,81,75,74,49,100,100,88
42,2022-08-07,80,97,79,83,83,55,96,96,81
43,2022-08-08,65,92,58,89,69,57,65,65,55
44,2022-08-09,80,52,65,72,100,59,100,100,91
45,2022-08-10,66,45,60,86,51,52,100,100,68
46,2022-08-11,79,95,88,64,84,54,100,100,78
47,2022-08-12,81,95,76,89,79,50,100,100,84
48,2022-08-13,48,74,22,78,20,47,100,100,34
49,2022-08-14,86,79,83,75,99,52,100,100,100
50,2022-08-15,66,25,44,78,95,64,100,100,63
51,2022-08-16,77,77,76,91,79,55,100,100,75
52,2022-08-17,73,57,67,83,75,44,100,100,81
53,2022-08-18,59,27,44,37,60,45,100,100,72
54,2022-08-19,63,65,60,91,52,56,93,93,53
55,2022-08-20,82,65,88,70,99,56,95,95,92
56,2022-08-21,85,75,95,75,96,57,93,93,95
57,2022-08-22,63,71,76,70,55,59,66,66,57
58,2022-08-23,77,81,81,81,70,45,100,100,82
59,2022-08-24,59,51,34,78,44,50,99,99,60
60,2022-08-25,69,85,69,97,64,51,88,88,61
61,2022-08-26,76,75,83,75,75,56,62,62,88
62,2022-08-27,67,60,72,59,83,49,73,73,72
63,2022-08-28,80,37,76,78,95,65,88,88,93
64,2022-08-29,73,63,65,91,88,54,93,93,71
65,2022-08-30,71,61,83,89,69,54,90,90,68
66,2022-08-31,78,79,72,89,78,62,98,98,78
67,2022-09-01,74,97,76,51,76,66,100,100,70
68,2022-09-02,76,96,67,89,79,55,97,97,72
69,2022-09-03,74,48,51,86,89,69,79,79,81
70,2022-09-04,82,73,81,83,96,55,100,100,84
71,2022-09-05,64,73,79,70,62,52,73,73,58
72,2022-09-06,83,76,86,91,97,55,100,100,85
73,2022-09-07,77,64,76,78,85,65,100,100,77
74,2022-09-08,73,79,69,72,93,62,82,82,69
75,2022-09-09,68,48,41,91,72,51,99,99,72
76,2022-09-11,71,73,74,62,93,56,58,58,75
77,2022-09-12,86,97,90,35,98,62,100,100,98
78,2022-09-13,81,96,81,91,77,58,100,100,79
79,2022-09-14,74,38,81,81,95,70,100,100,67
80,2022-09-15,74,46,69,62,95,51,100,100,84
81,2022-09-16,79,96,90,75,79,50,83,83,83
82,2022-09-17,64,59,58,89,60,62,61,61,62
83,2022-09-18,76,66,96,64,97,71,43,43,83
84,2022-09-19,82,24,79,86,99,59,100,100,97
85,2022-09-20,83,73,86,86,96,59,100,100,86
86,2022-09-21,68,71,51,75,73,44,100,100,70
87,2022-09-22,74,68,69,64,89,63,100,100,72
88,2022-09-24,73,64,67,89,95,48,81,81,76
89,2022-09-25,65,66,53,94,67,53,49,49,68
90,2022-09-26,78,43,60,72,97,60,100,100,90
91,2022-09-29,70,52,81,94,75,63,100,100,59
92,2022-09-30,65,78,79,59,51,48,89,89,64
93,2022-10-01,69,50,58,97,93,58,48,48,74
94,2022-10-02,65,35,69,89,87,45,54,54,71
95,2022-10-03,83,63,74,81,95,58,100,100,94
96,2022-10-04,71,59,79,64,69,50,100,100,75
97,2022-10-05,73,71,69,67,70,45,100,100,80
98,2022-10-07,78,73,79,67,94,54,100,100,82
99,2022-10-08,69,53,67,72,83,61,73,73,72
100,2022-10-09,63,35,72,91,67,48,71,71,63
101,2022-10-10,86,85,86,94,95,60,97,97,90
102,2022-10-11,60,21,37,94,55,57,91,91,62
103,2022-10-12,77,92,62,67,91,57,100,100,79
104,2022-10-13,69,73,76,81,66,53,75,75,70
105,2022-10-14,75,52,83,89,80,62,100,100,73
106,2022-10-15,76,68,83,89,95,54,70,70,77
107,2022-10-16,74,64,83,83,100,69,55,55,72
108,2022-10-17,65,79,96,83,62,94,36,36,45
109,2022-10-18,84,63,93,97,96,71,88,88,84
110,2022-10-19,80,95,72,94,96,54,84,84,79
111,2022-10-20,83,87,76,97,87,60,100,100,83
112,2022-10-21,78,88,83,91,76,45,92,92,82
113,2022-10-22,69,76,86,94,71,66,63,63,56
114,2022-10-23,77,53,81,72,96,50,86,86,87
115,2022-10-24,76,96,65,89,73,52,88,88,76
116,2022-10-25,81,89,93,99,80,62,79,79,79
117,2022-10-26,85,74,96,86,97,57,92,92,91
118,2022-10-27,83,90,96,91,86,65,79,79,82
119,2022-10-28,73,89,83,64,82,57,73,73,74
120,2022-10-29,72,80,88,94,69,59,63,63,69
121,2022-10-30,78,63,76,75,96,53,94,94,85
122,2022-10-31,69,69,83,46,89,56,76,76,69
123,2022-11-01,78,85,83,64,92,54,99,99,78
124,2022-11-02,80,81,79,94,89,63,100,100,75
125,2022-11-03,84,89,90,67,99,64,100,100,85
126,2022-11-04,74,95,79,40,84,64,100,100,69
127,2022-11-05,76,97,79,89,89,64,60,60,72
128,2022-11-06,85,87,93,94,88,63,97,97,84
129,2022-11-07,90,87,88,91,99,61,100,100,97
130,2022-11-08,83,84,93,64,93,69,91,91,85
131,2022-11-09,79,70,98,67,81,72,100,100,77
132,2022-11-10,86,95,88,86,95,74,100,100,80
133,2022-11-11,65,48,46,32,88,81,100,100,62
134,2022-11-12,86,91,99,72,96,71,100,100,85
135,2022-11-13,67,53,67,89,63,53,84,84,68
136,2022-11-14,79,16,62,72,100,59,100,100,100
137,2022-11-15,75,70,58,78,96,60,100,100,73
138,2022-11-16,58,19,76,72,89,56,59,59,52
139,2022-11-17,80,35,86,72,100,51,100,100,95
140,2022-11-18,74,41,62,91,83,58,84,84,84
141,2022-11-19,79,32,72,89,96,71,100,100,83
142,2022-11-20,73,66,76,64,95,72,87,87,67
143,2022-11-21,90,74,86,78,100,76,100,100,100
144,2022-11-22,83,69,74,70,100,65,96,96,93
145,2022-11-23,80,62,81,64,93,68,100,100,85
146,2022-11-24,56,17,74,81,92,68,25,25,48
147,2022-11-26,78,30,95,81,96,63,82,82,87
148,2022-11-27,76,10,74,81,83,64,100,100,89
149,2022-11-28,68,44,53,89,77,74,100,100,59
150,2022-11-29,83,72,96,70,86,74,100,100,84
151,2022-11-30,83,95,95,67,95,61,100,100,82
152,2022-12-01,82,55,86,97,96,68,100,100,82
153,2022-12-02,79,61,95,78,96,85,100,100,67
154,2022-12-03,73,81,81,67,73,73,88,88,66
155,2022-12-04,87,83,99,67,100,77,89,89,91
156,2022-12-05,85,95,83,67,98,77,100,100,84
157,2022-12-06,74,74,96,70,70,74,91,91,64
158,2022-12-07,89,54,97,67,99,79,100,100,100
159,2022-12-08,81,52,72,67,99,80,100,100,85
160,2022-12-09,74,24,83,70,98,63,100,100,77
161,2022-12-10,75,96,81,64,73,74,83,83,70
162,2022-12-11,82,94,88,72,93,85,63,63,82
163,2022-12-12,94,87,97,94,98,81,100,100,97
164,2022-12-13,83,62,93,64,96,78,100,100,86
165,2022-12-14,84,53,93,78,94,75,88,88,91
166,2022-12-15,76,46,90,89,85,66,94,94,73
167,2022-12-16,63,19,34,94,99,79,63,63,58
168,2022-12-17,89,54,100,78,100,77,89,89,100
169,2022-12-18,85,98,95,78,98,68,85,85,85
170,2022-12-19,80,47,79,70,96,67,91,91,89
