date,Total Sleep Duration
2022-12-04,30120
2022-12-05,28260
2022-12-06,23250
2022-12-07,34530
2022-12-08,28620
2022-12-09,26610
2022-12-10,24810
2022-12-11,27720
2022-12-12,31740
2022-12-13,28890
2022-12-14,29970
2022-12-15,25350
2022-12-16,21600
2022-12-17,35640
2022-12-18,28530
2022-12-19,29550
2022-12-20,27810
2022-12-21,22440
2022-12-23,29190
2022-12-24,23520
2022-12-26,27000
2022-12-27,27960
2022-12-28,27330
2022-12-29,27930
2022-12-30,28620
2022-12-31,30930
2023-01-01,27090
2023-01-02,29640
2023-01-03,26700
2023-01-04,27840
2023-01-05,29580
2023-01-06,26820
2023-01-07,26310
2023-01-08,25350
2023-01-09,29430
2023-01-10,29100
2023-01-11,25380
2023-01-12,26730
2023-01-13,23790
2023-01-14,27960
2023-01-15,28710
2023-01-16,29430
2023-01-17,22410
2023-01-18,31320
2023-01-19,24990
2023-01-20,24960
2023-01-23,32430
2023-01-24,23130
2023-01-26,27930
2023-01-27,29070
2023-01-28,27510
2023-01-29,27750
2023-01-30,26790
2023-01-31,27000
2023-02-01,25650
2023-02-02,27570
2023-02-03,28350
2023-02-04,24840
